Local: ,10-Dec-20,07:15:26 PM,tz_sec ,19800
Linux Epoch (ms): ,1607607926000
,SLOT F
,Ch2
Epoch Delta TS,D2,S2
804.125,0,399889
804.125,0,399954
804.125,0,399909
804.125,0,399963
804.125,0,399963
804.125,0,399938
816.125,0,399923
816.125,0,399951
816.125,0,399910
816.125,0,399907
816.125,0,399905
816.125,0,399933
828.125,0,399934
828.125,0,399926
828.125,0,399922
828.125,0,399927
828.125,0,399910
828.125,0,399912
840.094,0,399922
840.094,0,399929
840.094,0,399939
840.094,0,399954
840.094,0,399921
840.094,0,399891
852.125,0,399917
852.125,0,399897
852.125,0,399909
852.125,0,399912
852.125,0,399917
852.125,0,399885
864.125,0,399862
864.125,0,399883
864.125,0,399883
864.125,0,399878
864.125,0,399908
864.125,0,399893
876.125,0,399926
876.125,0,399912
876.125,0,399892
876.125,0,399903
876.125,0,399921
876.125,0,399898
888.094,0,399895
888.094,0,399918
888.094,0,399849
888.094,0,399872
888.094,0,399912
888.094,0,399876
900.125,0,399858
900.125,0,399847
900.125,0,399854
900.125,0,399894
900.125,0,399912
900.125,0,399897
912.125,0,399889
912.125,0,399875
912.125,0,399892
912.125,0,399896
912.125,0,399892
912.125,0,399868
924.125,0,399861
924.125,0,399867
924.125,0,399882
924.125,0,399924
924.125,0,399889
924.125,0,399848
936.125,0,399868
936.125,0,399877
936.125,0,399870
936.125,0,399840
936.125,0,399873
936.125,0,399916
948.094,0,399828
948.094,0,399856
948.094,0,399855
948.094,0,399840
948.094,0,399845
948.094,0,399836
960.125,0,399852
960.125,0,399862
960.125,0,399824
960.125,0,399848
960.125,0,399912
960.125,0,399877
972.125,0,399819
972.125,0,399845
972.125,0,399842
972.125,0,399828
972.125,0,399876
972.125,0,399849
984.125,0,399844
984.125,0,399823
984.125,0,399805
984.125,0,399844
984.125,0,399865
984.125,0,399851
996.094,0,399855
996.094,0,399844
996.094,0,399848
996.094,0,399843
996.094,0,399827
996.094,0,399828
1008.125,0,399889
1008.125,0,399817
1008.125,0,399816
1008.125,0,399808
1008.125,0,399814
1008.125,0,399827
1020.125,0,399852
1020.125,0,399880
1020.125,0,399876
1020.125,0,399798
1020.125,0,399827
1020.125,0,399851
1032.125,0,399850
1032.125,0,399820
1032.125,0,399815
1032.125,0,399820
1032.125,0,399819
1032.125,0,399812
1044.125,0,399835
1044.125,0,399831
